407	82621	300
408	83028	302
409	83436	304
410	83845	306
411	84255	308
412	84666	310
413	85078	312
414	85491	314
415	85905	316
416	86320	318
417	86736	320
418	87153	322
419	87571	324
420	87990	326
421	88410	328
422	88831	330
423	89253	332
424	89676	334
425	90100	336
426	90525	338
427	90951	340
428	91378	342
429	91806	344
430	92235	346
431	92665	348
432	93096	350
433	93528	352
434	93961	354
435	94395	356
436	94830	358
437	95266	360
438	95703	362
439	96141	364
440	96580	366
441	97020	368
442	97461	370
443	97903	372
444	98346	374
445	98790	376
446	99235	378
447	99681	380
448	100128	382
449	100576	384
450	101025	386
451	101475	388
452	101926	390
453	102378	392
454	102831	394
455	103285	396
456	103740	398
457	104196	400
458	104653	402
459	105111	404
460	105570	406
461	106030	408
462	106491	410
463	106953	412
464	107416	414
465	107880	416
466	108345	418
467	108811	420
468	109278	422
469	109746	424
470	110215	426
471	110685	428
472	111156	430
473	111628	432
474	112101	434
475	112575	436
476	113050	438
477	113526	440
478	114003	442
479	114481	444
480	114960	446
481	115440	448
482	115921	450
483	116403	452
484	116886	454
485	117370	456
486	117855	458
487	118341	460
488	118828	462
489	119316	464
490	119805	466
491	120295	468
492	120786	470
493	121278	472
494	121771	474
495	122265	476
496	122760	478
497	123256	480
498	123753	482
499	124251	484
500	124750	486
501	125250	488
502	125751	490
503	126253	492
504	126756	494
505	127260	496
506	127765	498
507	128271	500
508	128778	502
509	129286	504
510	129795	506
511	130305	508
512	130816	510
513	131328	510
514	131841	510
515	132355	510
516	132870	510
517	133386	510
518	133903	510
519	134421	510
520	134940	510
521	135460	510
522	135981	510
523	136503	510
524	137026	510
525	137550	510
526	138075	510
527	138601	510
528	139128	510
529	139656	510
530	140185	510
531	140715	510
532	141246	510
533	141778	510
534	142311	510
535	142845	510
536	143380	510
537	143916	510
538	144453	510
539	144991	510
540	145530	510
541	146070	510
542	146611	510
543	147153	510
544	147696	510
545	148240	510
546	148785	510
547	149331	510
548	149878	510
549	150426	510
550	150975	510
551	151525	510
552	152076	510
553	152628	510
554	153181	510
555	153735	510
556	154290	510
557	154846	510
558	155403	510
559	155961	510
560	156520	510
561	157080	510
562	157641	510
563	158203	510
564	158766	510
565	159330	510
566	159895	510
567	160461	510
568	161028	510
569	161596	510
570	162165	510
571	162735	510
572	163306	510
573	163878	510
574	164451	510
575	165025	510
576	165600	510
577	166176	510
578	166753	510
579	167331	510
580	167910	510
581	168490	510
582	169071	510
583	169653	510
584	170236	510
585	170820	510
586	171405	510
587	171991	510
588	172578	510
589	173166	510
590	173755	510
591	174345	510
592	174936	510
593	175528	510
594	176121	510
595	176715	510
596	177310	510
597	177906	510
598	178503	510
599	179101	510
600	179700	510
601	180300	510
602	180901	510
603	181503	510
604	182106	510
605	182710	510
606	183315	510
607	183921	510
608	184528	510
609	185136	510
610	185745	510
611	186355	510
612	186966	510
613	187578	510
614	188191	510
615	188805	510
616	189420	510
617	190036	510
618	190653	510
619	191271	510
620	191890	510
621	192510	510
622	193131	510
623	193753	510
624	194376	510
625	195000	510
626	195625	510
627	196251	510
628	196878	510
629	197506	510
630	198135	510
631	198765	510
632	199396	510
633	200028	510
634	200661	510
635	201295	510
636	201930	510
637	202566	510
638	203203	510
639	203841	510
640	204480	510
641	205120	510
642	205761	510
643	206403	510
644	207046	510
645	207690	510
646	208335	510
647	208981	510
648	209628	510
649	210276	510
650	210925	510
651	211575	510
652	212226	510
653	212878	510
654	213531	510
655	214185	510
656	214840	510
657	215496	510
658	216153	510
659	216811	510
660	217470	510
661	218130	510
662	218791	510
663	219453	510
664	220116	510
665	220780	510
666	221445	510
667	222111	510
668	222778	510
669	223446	510
670	224115	510
671	224785	510
672	225456	510
673	226128	510
674	226801	510
675	227475	510
676	228150	510
677	228826	510
678	229503	510
679	230181	510
680	230860	510
681	231540	510
682	232221	510
683	232903	510
684	233586	510
685	234270	510
686	234955	510
687	235641	510
688	236328	510
689	237016	510
690	237705	510
691	238395	510
692	239086	510
693	239778	510
694	240471	510
695	241165	510
696	241860	510
697	242556	510
698	243253	510
699	243951	510
700	244650	510
701	245350	510
702	246051	510
703	246753	510
704	247456	510
705	248160	510
706	248865	510
707	249571	510
708	250278	510
709	250986	510
710	251695	510
711	252405	510
712	253116	510
713	253828	510
714	254541	510
715	255255	510
716	255970	510
717	256686	510
718	257403	510
719	258121	510
720	258840	510
721	259560	510
722	260281	510
723	261003	510
724	261726	510
725	262450	510
726	263175	510
727	263901	510
728	264628	510
729	265356	510
730	266085	510
731	266815	510
732	267546	510
733	268278	510
